,yummy,convenient,spicy,fattening,greasy,fast,cheap,tasty,expensive,healthy,disgusting,Like,VisitFrequency,cluster,Gender,Age
0,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,-3,Every three months,1,Female,61
1,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,2,Every three months,0,Female,51
2,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,1,Every three months,0,Female,62
3,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,4,Once a week,0,Female,69
4,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,2,Once a month,0,Male,49
5,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,2,Every three months,0,Male,55
6,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,2,Every three months,0,Female,56
7,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,5,Once a week,0,Female,23
8,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,-5,Once a year,1,Male,58
9,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,1,Every three months,0,Female,32
10,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,-2,Every three months,1,Female,53
11,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,3,Once a month,0,Male,28
12,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,0,Every three months,0,Male,65
13,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,5,Once a month,0,Male,54
14,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,-3,Once a month,1,Male,67
15,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,Once a month,0,Male,51
16,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,0,Once a month,0,Female,34
17,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,2,Once a month,0,Male,31
18,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,-4,Every three months,1,Female,47
19,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,5,More than once a week,0,Male,37
20,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,2,Once a year,0,Female,41
21,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,2,Once a month,0,Male,36
22,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,-2,Once a week,1,Female,23
23,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,5,More than once a week,0,Female,50
24,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,2,Every three months,0,Female,39
25,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,0,Every three months,0,Female,35
26,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,0,Every three months,0,Male,20
27,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,0,Once a month,0,Female,34
28,No,Yes,No,No,No,Yes,No,No,No,No,No,0,Every three months,0,Male,55
29,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,3,Every three months,0,Female,24
30,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,3,Once a month,0,Male,44
31,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,3,Once a month,0,Female,40
32,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,1,Once a month,0,Male,55
33,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,Never,1,Male,37
34,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,4,Once a week,0,Male,48
35,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-2,Every three months,1,Female,54
36,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,3,Every three months,0,Female,38
37,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-5,Every three months,1,Female,49
38,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,Never,1,Female,35
39,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,Once a year,1,Male,55
40,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,2,Once a year,0,Male,31
41,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,3,More than once a week,0,Male,57
42,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,4,More than once a week,0,Male,69
43,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,3,Every three months,0,Female,37
44,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-5,Never,1,Male,60
45,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,Once a month,0,Male,36
46,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,1,Every three months,0,Male,54
47,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,4,Once a month,0,Male,66
48,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,Once a month,0,Female,32
49,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,Once a year,0,Male,67
50,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,Once a week,1,Female,42
51,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,2,Once a month,0,Female,26
52,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,1,Once a year,0,Female,58
53,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,-5,Once a month,1,Male,48
54,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,4,Once a month,0,Female,54
55,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,Once a year,0,Male,62
56,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,Once a year,1,Female,52
57,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,0,Every three months,0,Male,53
58,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,More than once a week,0,Male,47
59,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,5,Once a month,0,Female,26
60,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,5,Once a week,0,Female,29
61,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,3,Once a week,0,Male,24
62,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,5,Once a week,0,Female,25
63,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,0,Once a month,0,Male,54
64,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,4,Once a month,0,Female,23
65,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,0,Never,0,Female,34
66,No,Yes,No,No,No,No,No,No,Yes,No,No,1,Every three months,0,Male,47
67,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,Once a week,0,Male,22
68,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,0,Once a year,0,Male,47
69,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,Once a month,0,Male,56
70,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,-1,Every three months,1,Male,55
71,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,3,Every three months,0,Female,56
72,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,0,Every three months,0,Female,56
73,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,Every three months,0,Female,37
74,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,5,Once a week,0,Female,50
75,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,-1,Every three months,1,Male,40
76,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,Once a week,0,Male,61
77,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,-2,Every three months,1,Male,55
78,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,-1,Once a year,1,Female,45
79,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,1,Once a month,0,Male,42
80,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,2,Every three months,0,Male,52
81,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,2,Once a year,0,Female,58
82,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,1,Once a month,0,Male,48
83,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,3,Once a week,0,Male,58
84,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,-3,Once a year,1,Male,18
85,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,4,Once a month,0,Female,68
86,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,1,Once a month,0,Female,49
87,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,-5,Once a week,1,Female,50
88,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,2,Every three months,0,Female,43
89,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,4,Every three months,0,Male,67
90,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,1,Once a week,0,Female,40
91,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,-5,Never,1,Male,35
92,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,-5,Every three months,1,Female,42
93,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,2,Every three months,0,Female,41
94,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,4,Once a month,0,Male,32
95,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,3,Once a month,0,Female,21
96,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,4,Once a week,0,Female,56
97,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,2,Every three months,0,Male,27
98,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,0,Once a year,0,Female,48
99,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,2,Once a week,0,Male,32
100,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,3,Once a month,0,Male,50
101,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,2,Once a year,0,Female,42
102,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,More than once a week,0,Male,35
103,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,4,Once a month,0,Female,57
104,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,3,Once a month,0,Male,68
105,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,3,Once a month,0,Female,51
106,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,-2,Every three months,1,Female,42
107,No,Yes,No,Yes,No,No,No,No,No,No,No,0,Every three months,0,Female,44
108,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,2,Once a year,0,Female,57
109,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,2,Once a year,0,Female,56
110,No,Yes,Yes,Yes,No,No,No,No,No,No,No,-2,Every three months,1,Female,57
111,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,5,Once a week,0,Female,33
112,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,-3,Every three months,1,Male,63
113,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,2,Once a month,0,Male,55
114,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,0,Every three months,0,Female,39
115,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-3,Never,1,Male,65
116,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,4,Once a week,0,Female,47
117,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,1,Every three months,0,Female,37
118,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-1,Once a year,1,Male,22
